"","Experiment","plant_pathway_induced","Amplicon_concentation_ngul","total_reads","libsize_after_filtering","shoot_biomass","Observed","Chao1","Shannon","Simpson","PD","sample_name"
"1_16S","cond_phytohormones","control",6.4,55229,49633,2.078,1157,1167.34482758621,6.11590417156949,0.994224248337683,108.235479998,"1_16S"
"2_16S","cond_phytohormones","control",26,123306,67513,2.005,1617,1655.024,6.18328172423461,0.993219501586713,125.429136031,"2_16S"
"3_16S","cond_phytohormones","control",3.2,254791,190655,2.254,1839,1873.04761904762,6.56961397189353,0.995080814176194,121.043639459,"3_16S"
"4_16S","cond_phytohormones","control",24.1,103394,72312,2.074,1606,1659.015625,6.13459385438577,0.993989635257588,128.295211339,"4_16S"
"5_16S","cond_phytohormones","control",2.9,249841,171630,1.774,1903,1934.04597701149,6.521134990174,0.994771273191241,129.114999774,"5_16S"
"6_16S","cond_phytohormones","control",24.9,110201,94308,1.653,1925,2019,6.23107624697501,0.994176651378639,137.913771831,"6_16S"
"7_16S","cond_phytohormones","control",23.6,109788,85669,1.486,1986,2130.25149700599,6.24979491025075,0.992800674976612,148.154222309,"7_16S"
"8_16S","cond_phytohormones","control",2.2,161906,148860,2.412,1928,1977.04411764706,6.17103245967272,0.992724419656818,134.358093847,"8_16S"
"9_16S","cond_phytohormones","control",25.2,109346,89141,1.869,2095,2204.83606557377,6.39423788487246,0.993981087842025,153.287289297,"9_16S"
"12_16S","cond_phytohormones","control",2.9,168809,151414,2.005,1833,1864.04597701149,6.44866582781892,0.995118235911145,127.015938817,"12_16S"
"13_16S","cond_phytohormones","control",26.4,109413,89320,1.436,1689,1787.72727272727,5.93510568584925,0.991929692681209,135.194353147,"13_16S"
"14_16S","cond_phytohormones","control",26.4,124978,65265,1.99,1633,1687.72580645161,6.19120570613317,0.99346815684952,130.308516285,"14_16S"
"16_16S","cond_phytohormones","control",24,96011,53717,1.802,1101,1121.61445783133,5.57118892707861,0.988155720494524,101.085916255,"16_16S"
"17_16S","cond_phytohormones","JA",22.9,111615,92758,1.243,2021,2139.83157894737,6.30292801370313,0.994321358279777,148.097574616,"17_16S"
"18_16S","cond_phytohormones","JA",26,137475,103642,1.617,2054,2158.00487804878,6.22311312995649,0.993152535735848,151.589897911,"18_16S"
"19_16S","cond_phytohormones","JA",3.4,187149,175458,1.459,1820,1867.5,6.24175452387707,0.993043933709095,122.065420591,"19_16S"
"20_16S","cond_phytohormones","JA",23.7,113891,104810,1.327,1916,1979.24418604651,6.19353786752121,0.993144060577122,145.94626459,"20_16S"
"21_16S","cond_phytohormones","JA",26.2,103226,85577,1.481,1753,1844.19852941176,6.1497190266762,0.993529377063992,135.588677915,"21_16S"
"22_16S","cond_phytohormones","JA",26.6,101860,87518,1.266,1697,1785.92857142857,5.87630327292077,0.984861541827545,133.938655916,"22_16S"
"23_16S","cond_phytohormones","JA",24.5,98681,81857,1.624,1767,1864.08088235294,6.05316871942353,0.986422966620813,137.11394807,"23_16S"
"24_16S","cond_phytohormones","JA",23,73261,64393,1.614,1177,1217,5.49017811491859,0.982640101971869,102.481158492,"24_16S"
"25_16S","cond_phytohormones","JA",26.7,143549,65876,1.731,1724,1780.62096774194,6.30151527019626,0.994616875755134,134.740400382,"25_16S"
"26_16S","cond_phytohormones","JA",27.2,111946,105167,1.531,1861,1975.0303030303,6.06857227499033,0.992783403156827,141.72026145,"26_16S"
"27_16S","cond_phytohormones","JA",26,103170,87981,1.689,1690,1777.75735294118,6.05167442951723,0.99264707642509,124.477596339,"27_16S"
"28_16S","cond_phytohormones","JA",26.2,138552,86596,1.676,1877,1948.1976744186,6.27719555639614,0.994408540619524,144.768512963,"28_16S"
"29_16S","cond_phytohormones","JA",7.1,90167,81383,1.74,1631,1650.68571428571,6.41416677578354,0.995442165749254,132.460386792,"29_16S"
"30_16S","cond_phytohormones","JA",26.5,99856,88153,1.263,1415,1478.68421052632,5.7010727016944,0.98779687355454,112.886830877,"30_16S"
"31_16S","cond_phytohormones","JA",25.1,96827,68414,1.543,1779,1849,6.35618359218475,0.995291938912857,137.428588791,"31_16S"
"32_16S","cond_phytohormones","JA",23.5,99175,82433,1.599,1658,1775.5859375,5.99418489649507,0.990282941493482,126.189223675,"32_16S"
