"","Experiment","plant_pathway_induced","Amplicon_concentation_ngul","total_reads","libsize_after_filtering","shoot_biomass","Observed","Chao1","Shannon","Simpson","PD","sample_name"
"6_ITS","cond_phytohormones","control",29.068,135165,134324,1.653,98,98.5,2.29940405063955,0.769320229021559,22.193597016,"6_ITS"
"7_ITS","cond_phytohormones","control",25.993,131791,129340,1.486,128,129,3.09310837453659,0.888238533933174,28.965568188,"7_ITS"
"9_ITS","cond_phytohormones","control",24.716,161482,157261,1.869,110,110,2.7471122364916,0.798075128799798,25.088670652,"9_ITS"
"13_ITS","cond_phytohormones","control",22.948,114910,113718,1.436,72,75,2.94276286112021,0.87465990375744,20.47764735,"13_ITS"
"14_ITS","cond_phytohormones","control",22.769,115185,114105,1.99,151,151,3.53670613479655,0.931743866537545,32.491517892,"14_ITS"
"16_ITS","cond_phytohormones","control",26.738,116071,115942,1.802,95,95,2.78072150149341,0.880700134544416,21.350200096,"16_ITS"
"17_ITS","cond_phytohormones","JA",29.003,179534,179092,1.243,84,84,1.15342363128429,0.370225387897161,22.368025759,"17_ITS"
"18_ITS","cond_phytohormones","JA",24.705,126223,123031,1.617,50,50,2.65085750065029,0.852614183146708,11.188600318,"18_ITS"
"20_ITS","cond_phytohormones","JA",24.048,97086,93936,1.327,73,73,3.33558006583909,0.93812475226809,20.948047887,"20_ITS"
"21_ITS","cond_phytohormones","JA",23.808,110073,100953,1.481,46,46,2.46917690533534,0.876473869385328,11.512506017,"21_ITS"
"22_ITS","cond_phytohormones","JA",24.194,92709,77964,1.266,44,44,2.43731273349099,0.857993023481412,11.07236074,"22_ITS"
"23_ITS","cond_phytohormones","JA",23.845,121476,121181,1.624,59,60,2.61651357685832,0.848601286166312,13.685575041,"23_ITS"
"24_ITS","cond_phytohormones","JA",23.604,125704,123820,1.614,56,58,2.27906726036846,0.79288206707981,12.2000741,"24_ITS"
"25_ITS","cond_phytohormones","JA",29.719,162665,161846,1.731,102,102.5,1.43427593008438,0.456763366716331,26.137008518,"25_ITS"
"26_ITS","cond_phytohormones","JA",25.142,144015,142023,1.531,92,97,3.09667177194279,0.917571051915759,20.223737902,"26_ITS"
"27_ITS","cond_phytohormones","JA",26.054,141107,140066,1.689,78,79.5,2.69686256605534,0.85221272455513,23.169604637,"27_ITS"
"28_ITS","cond_phytohormones","JA",23.533,111177,105673,1.676,54,54,2.64481171857005,0.887023131545822,14.74877013,"28_ITS"
