"","distance","plant_pathway_induced","sample_name","Experiment","UMAP1","UMAP2","UMAP1_centroid","UMAP2_centroid"
"1","bray","control","1_16S","cond_phytohormones",-1.13147381579982,2.53684733026615,-0.207346958826827,0.789001096197025
"2","bray","control","2_16S","cond_phytohormones",-0.488969464813714,0.144367192406943,-0.207346958826827,0.789001096197025
"3","bray","control","3_16S","cond_phytohormones",-1.49642873839372,3.60173290384879,-0.207346958826827,0.789001096197025
"4","bray","control","4_16S","cond_phytohormones",0.222933518751691,-0.699212995678032,-0.207346958826827,0.789001096197025
"5","bray","control","5_16S","cond_phytohormones",-1.85748830452438,3.49572110746823,-0.207346958826827,0.789001096197025
"6","bray","control","6_16S","cond_phytohormones",1.57800962933899,-1.07995865532171,-0.207346958826827,0.789001096197025
"7","bray","control","7_16S","cond_phytohormones",1.06481239761469,-0.880281349357507,-0.207346958826827,0.789001096197025
"8","bray","control","8_16S","cond_phytohormones",-1.47481446437826,3.22033433890702,-0.207346958826827,0.789001096197025
"9","bray","control","9_16S","cond_phytohormones",-0.609887797962189,-0.903140318607616,-0.207346958826827,0.789001096197025
"10","bray","control","12_16S","cond_phytohormones",-1.68532549079639,3.77932200403849,-0.207346958826827,0.789001096197025
"11","bray","control","13_16S","cond_phytohormones",1.56211753551979,-1.89007384959046,-0.207346958826827,0.789001096197025
"12","bray","control","14_16S","cond_phytohormones",-0.491230738160806,0.59216547637681,-0.207346958826827,0.789001096197025
"13","bray","control","16_16S","cond_phytohormones",2.11223526885537,-1.66080893419579,-0.207346958826827,0.789001096197025
"14","bray","JA","17_16S","cond_phytohormones",0.680020828106516,-0.0665720856747656,-0.0259583644407632,-0.454955668094493
"15","bray","JA","18_16S","cond_phytohormones",-0.341263854869502,-1.38591403842154,-0.0259583644407632,-0.454955668094493
"16","bray","JA","19_16S","cond_phytohormones",-1.11219723894209,3.47902079019101,-0.0259583644407632,-0.454955668094493
"17","bray","JA","20_16S","cond_phytohormones",-0.516069718124693,1.98785057587418,-0.0259583644407632,-0.454955668094493
"18","bray","JA","21_16S","cond_phytohormones",0.789905825099209,-1.81160886469546,-0.0259583644407632,-0.454955668094493
"19","bray","JA","22_16S","cond_phytohormones",0.56536096895289,-1.27207912491408,-0.0259583644407632,-0.454955668094493
"20","bray","JA","23_16S","cond_phytohormones",-0.373811175449596,-0.991884532009667,-0.0259583644407632,-0.454955668094493
"21","bray","JA","24_16S","cond_phytohormones",1.48400386975436,-2.57676805477227,-0.0259583644407632,-0.454955668094493
"22","bray","JA","25_16S","cond_phytohormones",-1.02302367315041,-0.481454557410216,-0.0259583644407632,-0.454955668094493
"23","bray","JA","26_16S","cond_phytohormones",-0.176714615028587,2.408737478688,-0.0259583644407632,-0.454955668094493
"24","bray","JA","27_16S","cond_phytohormones",0.0556317467209624,-1.97643099273933,-0.0259583644407632,-0.454955668094493
"25","bray","JA","28_16S","cond_phytohormones",-0.542662612390643,-1.79271350769359,-0.0259583644407632,-0.454955668094493
"26","bray","JA","29_16S","cond_phytohormones",-0.764691819396353,2.7847647320907,-0.0259583644407632,-0.454955668094493
"27","bray","JA","30_16S","cond_phytohormones",1.18253478626029,-2.39226561382018,-0.0259583644407632,-0.454955668094493
"28","bray","JA","31_16S","cond_phytohormones",-1.01894343414723,-1.09133430630421,-0.0259583644407632,-0.454955668094493
"29","bray","JA","32_16S","cond_phytohormones",0.696586285552669,-2.10063858790047,-0.0259583644407632,-0.454955668094493
"30","bray","SA","33_16S","cond_phytohormones",0.504451071658747,-0.232338917540408,0.25923702465008,-0.248143630087452
"31","bray","SA","34_16S","cond_phytohormones",0.374702022272571,0.254853048385256,0.25923702465008,-0.248143630087452
"32","bray","SA","35_16S","cond_phytohormones",-0.709688855043927,2.31004380821297,0.25923702465008,-0.248143630087452
"33","bray","SA","38_16S","cond_phytohormones",-0.465742802911372,-0.469508825384424,0.25923702465008,-0.248143630087452
"34","bray","SA","39_16S","cond_phytohormones",0.264173966520056,-1.59107456655872,0.25923702465008,-0.248143630087452
"35","bray","SA","40_16S","cond_phytohormones",1.44896545987967,-1.21353760862461,0.25923702465008,-0.248143630087452
"36","bray","SA","42_16S","cond_phytohormones",-1.39573862321576,3.73050084746383,0.25923702465008,-0.248143630087452
"37","bray","SA","43_16S","cond_phytohormones",0.92363545816298,-2.52843537969474,0.25923702465008,-0.248143630087452
"38","bray","SA","44_16S","cond_phytohormones",-1.03255092624568,0.234545423040904,0.25923702465008,-0.248143630087452
"39","bray","SA","45_16S","cond_phytohormones",1.57942058293885,-2.39327523358955,0.25923702465008,-0.248143630087452
"40","bray","SA","46_16S","cond_phytohormones",-0.257715894871913,1.00275400898664,0.25923702465008,-0.248143630087452
"41","bray","SA","48_16S","cond_phytohormones",1.87693283665672,-2.08225016574656,0.25923702465008,-0.248143630087452
"42","uni","control","1_16S","cond_phytohormones",1.0636235054011,0.443547487388167,0.797014089296273,-0.0785970951576986
"43","uni","control","2_16S","cond_phytohormones",-0.610912057483601,-0.747282719637847,0.797014089296273,-0.0785970951576986
"44","uni","control","3_16S","cond_phytohormones",3.80979900798462,0.881318637691452,0.797014089296273,-0.0785970951576986
"45","uni","control","4_16S","cond_phytohormones",-1.4845499016966,0.292809526699919,0.797014089296273,-0.0785970951576986
"46","uni","control","5_16S","cond_phytohormones",3.56687631139137,0.517141502747591,0.797014089296273,-0.0785970951576986
"47","uni","control","6_16S","cond_phytohormones",0.0222016078473746,-1.57450976744484,0.797014089296273,-0.0785970951576986
"48","uni","control","7_16S","cond_phytohormones",-0.351960730150877,-0.520176673353014,0.797014089296273,-0.0785970951576986
"49","uni","control","8_16S","cond_phytohormones",3.66141139456796,0.715031734246391,0.797014089296273,-0.0785970951576986
"50","uni","control","9_16S","cond_phytohormones",-1.77545164239777,0.766434993749895,0.797014089296273,-0.0785970951576986
"51","uni","control","12_16S","cond_phytohormones",3.09302139208454,0.545080135402853,0.797014089296273,-0.0785970951576986
"52","uni","control","13_16S","cond_phytohormones",0.306865303199335,-0.858340171262558,0.797014089296273,-0.0785970951576986
"53","uni","control","14_16S","cond_phytohormones",-0.281109483296526,0.607114176419389,0.797014089296273,-0.0785970951576986
"54","uni","control","16_16S","cond_phytohormones",-0.658631546599368,-2.08993109969748,0.797014089296273,-0.0785970951576986
"55","uni","JA","17_16S","cond_phytohormones",-0.235173940520868,0.227778635210296,-0.645495463679744,0.198676182703438
"56","uni","JA","18_16S","cond_phytohormones",-1.14252578618183,1.04861007608198,-0.645495463679744,0.198676182703438
"57","uni","JA","19_16S","cond_phytohormones",3.36951124422594,0.274160481805153,-0.645495463679744,0.198676182703438
"58","uni","JA","20_16S","cond_phytohormones",1.20928087221095,0.833688074765316,-0.645495463679744,0.198676182703438
"59","uni","JA","21_16S","cond_phytohormones",-1.30140638991323,-1.10016993341714,-0.645495463679744,0.198676182703438
"60","uni","JA","22_16S","cond_phytohormones",-1.19517522430275,0.0112110771449478,-0.645495463679744,0.198676182703438
"61","uni","JA","23_16S","cond_phytohormones",-2.06349974981645,1.08730627796587,-0.645495463679744,0.198676182703438
"62","uni","JA","24_16S","cond_phytohormones",-0.812322640960397,-2.01029257571392,-0.645495463679744,0.198676182703438
"63","uni","JA","25_16S","cond_phytohormones",-1.19047022459344,0.819166148223697,-0.645495463679744,0.198676182703438
"64","uni","JA","26_16S","cond_phytohormones",0.466406545079177,0.989607249904266,-0.645495463679744,0.198676182703438
"65","uni","JA","27_16S","cond_phytohormones",-2.09645878932966,0.263779735976782,-0.645495463679744,0.198676182703438
"66","uni","JA","28_16S","cond_phytohormones",-2.48801773679594,0.822962697691474,-0.645495463679744,0.198676182703438
"67","uni","JA","29_16S","cond_phytohormones",1.10729388924025,1.04173789876239,-0.645495463679744,0.198676182703438
"68","uni","JA","30_16S","cond_phytohormones",-1.09642394110677,-1.67260554149632,-0.645495463679744,0.198676182703438
"69","uni","JA","31_16S","cond_phytohormones",-1.62805713374163,1.13174673742798,-0.645495463679744,0.198676182703438
"70","uni","JA","32_16S","cond_phytohormones",-1.23088841236924,-0.589868117077778,-0.645495463679744,0.198676182703438
"71","uni","SA","33_16S","cond_phytohormones",-0.382647777599813,-0.00158614895532339,-0.00277131183130469,-0.17975472385041
"72","uni","SA","34_16S","cond_phytohormones",0.147895062041302,0.145385944872301,-0.00277131183130469,-0.17975472385041
"73","uni","SA","35_16S","cond_phytohormones",1.4526419313991,0.645418437215383,-0.00277131183130469,-0.17975472385041
"74","uni","SA","38_16S","cond_phytohormones",-2.23925444749723,1.2096254744748,-0.00277131183130469,-0.17975472385041
"75","uni","SA","39_16S","cond_phytohormones",-1.82505052597287,-0.67488280791662,-0.00277131183130469,-0.17975472385041
"76","uni","SA","40_16S","cond_phytohormones",-0.302958451154443,-1.26229745594247,-0.00277131183130469,-0.17975472385041
"77","uni","SA","42_16S","cond_phytohormones",3.55033263311208,1.22908314587975,-0.00277131183130469,-0.17975472385041
"78","uni","SA","43_16S","cond_phytohormones",-1.52249897828017,-0.729054730691707,-0.00277131183130469,-0.17975472385041
"79","uni","SA","44_16S","cond_phytohormones",0.362678746476264,-0.339378623557634,-0.00277131183130469,-0.17975472385041
"80","uni","SA","45_16S","cond_phytohormones",-0.388484095207082,-1.61979997508524,-0.00277131183130469,-0.17975472385041
"81","uni","SA","46_16S","cond_phytohormones",0.810620927880047,0.724361199563276,-0.00277131183130469,-0.17975472385041
"82","uni","SA","48_16S","cond_phytohormones",0.303469232827145,-1.48393114606143,-0.00277131183130469,-0.17975472385041
