LABELS
SEPARATOR TAB
DATA
bASV_1158	 Tepidisphaeraceae
bASV_1699	 Tepidisphaeraceae
bASV_1079	 WD2101_soil_group
bASV_703	 Roseiflexaceae
bASV_5152	 Candidatus_Azambacteria
bASV_891	 Microscillaceae
bASV_1248	 LWQ8
bASV_1154	 Saccharimonadales
bASV_4053	 Bdellovibrionaceae
bASV_1502	 Inquilinaceae
bASV_1340	 Rhodanobacteraceae
bASV_6100	 Xanthomonadaceae
bASV_99	 Xanthomonadaceae
bASV_1627	 Anaeromyxobacteraceae
bASV_4091	 Oxalobacteraceae
bASV_376	 Oxalobacteraceae
bASV_865	 Oxalobacteraceae
bASV_962	 Oxalobacteraceae
bASV_1268	 Nitrosomonadaceae
bASV_2249	 Nitrosomonadaceae
bASV_795	 Bryobacteraceae
bASV_2783	 Bryobacteraceae
bASV_2664	 Gemmatimonadaceae
bASV_1535	 SC-I-84
bASV_2917	 Oxalobacteraceae
bASV_1839	 Sutterellaceae
bASV_1241	 Burkholderiaceae
bASV_38	 Comamonadaceae
bASV_4	 Comamonadaceae
bASV_43	 Comamonadaceae
bASV_902	 Comamonadaceae
bASV_25	 Comamonadaceae
bASV_3314	 Rubritaleaceae
bASV_4493	 Pedosphaeraceae
bASV_388	 Beijerinckiaceae
bASV_153	 Rhizobiaceae
bASV_1557	 uncultured
bASV_1061	 Comamonadaceae
bASV_335	 Blastocatellaceae
bASV_1593	 Oxalobacteraceae
bASV_997	 Oxalobacteraceae
bASV_23	 Oxalobacteraceae
bASV_923	 Oxalobacteraceae
bASV_325	 Oxalobacteraceae
