LABELS
SEPARATOR TAB
DATA
fASV_270	Lobulomycetales_fam_Incertae_sedis
fASV_75	Rhizophlyctidaceae
fASV_77	Sonoraphlyctidaceae
fASV_985	Cladosporiaceae
fASV_373	Cladosporiaceae
fASV_1080	Cryptococcaceae
fASV_90	Mortierellales_fam_Incertae_sedis
fASV_57	Mortierellales_fam_Incertae_sedis
fASV_80	Mortierellaceae
fASV_194	Mortierellales_fam_Incertae_sedis
fASV_821	Mortierellales_fam_Incertae_sedis
fASV_49	Auriculariales_fam_Incertae_sedis
fASV_513	Ceratobasidiaceae
fASV_180	Cystofilobasidiaceae
fASV_195	Didymellaceae
fASV_187	Pleosporaceae
fASV_298	Phaeosphaeriaceae
fASV_160	Pezizomycotina_fam_Incertae_sedis
fASV_87	Aspergillaceae
fASV_215	Aspergillaceae
fASV_39	Aspergillaceae
fASV_532	Aspergillaceae
fASV_854	Aspergillaceae
fASV_349	Aspergillaceae
fASV_125	Hypocreales_fam_Incertae_sedis
fASV_97	Helotiaceae
fASV_456	Helotiales_fam_Incertae_sedis
fASV_285	Orbiliaceae
fASV_961	Melanommataceae
fASV_136	Podosporaceae
fASV_128	Podosporaceae
fASV_545	Branch06_fam_Incertae_sedis
fASV_1328	Ophiocordycipitaceae
fASV_515	Nectriaceae
fASV_401	Nectriaceae
fASV_490	Clavicipitaceae
fASV_333	Clavicipitaceae
fASV_170	Clavicipitaceae
fASV_166	Clavicipitaceae
fASV_186	Hypocreales_fam_Incertae_sedis
fASV_252	Nectriaceae
fASV_135	Nectriaceae
fASV_228	Nectriaceae
fASV_189	Nectriaceae
fASV_139	Nectriaceae
fASV_137	Nectriaceae
