TREE_COLORS
SEPARATOR TAB
DATA
fASV_238	range	#fed9a6	Glomeromycota
fASV_97	range	#fbb4ae	Ascomycota
fASV_1718	range	#fbb4ae	Ascomycota
fASV_456	range	#fbb4ae	Ascomycota
fASV_87	range	#fbb4ae	Ascomycota
fASV_160	range	#fbb4ae	Ascomycota
fASV_532	range	#fbb4ae	Ascomycota
fASV_854	range	#fbb4ae	Ascomycota
fASV_349	range	#fbb4ae	Ascomycota
fASV_215	range	#fbb4ae	Ascomycota
fASV_39	range	#fbb4ae	Ascomycota
fASV_221	range	#fbb4ae	Ascomycota
fASV_162	range	#fbb4ae	Ascomycota
fASV_15	range	#fbb4ae	Ascomycota
fASV_240	range	#fbb4ae	Ascomycota
fASV_187	range	#fbb4ae	Ascomycota
fASV_195	range	#fbb4ae	Ascomycota
fASV_298	range	#fbb4ae	Ascomycota
fASV_985	range	#fbb4ae	Ascomycota
fASV_373	range	#fbb4ae	Ascomycota
fASV_125	range	#fbb4ae	Ascomycota
fASV_172	range	#fbb4ae	Ascomycota
fASV_446	range	#fbb4ae	Ascomycota
fASV_136	range	#fbb4ae	Ascomycota
fASV_128	range	#fbb4ae	Ascomycota
fASV_653	range	#fbb4ae	Ascomycota
fASV_545	range	#fbb4ae	Ascomycota
fASV_252	range	#fbb4ae	Ascomycota
fASV_135	range	#fbb4ae	Ascomycota
fASV_228	range	#fbb4ae	Ascomycota
fASV_139	range	#fbb4ae	Ascomycota
fASV_189	range	#fbb4ae	Ascomycota
fASV_137	range	#fbb4ae	Ascomycota
fASV_515	range	#fbb4ae	Ascomycota
fASV_401	range	#fbb4ae	Ascomycota
fASV_1328	range	#fbb4ae	Ascomycota
fASV_490	range	#fbb4ae	Ascomycota
fASV_166	range	#fbb4ae	Ascomycota
fASV_170	range	#fbb4ae	Ascomycota
fASV_333	range	#fbb4ae	Ascomycota
fASV_186	range	#fbb4ae	Ascomycota
fASV_961	range	#fbb4ae	Ascomycota
fASV_285	range	#fbb4ae	Ascomycota
fASV_1080	range	#decbe4	Basidiomycota
fASV_180	range	#decbe4	Basidiomycota
fASV_49	range	#decbe4	Basidiomycota
fASV_52	range	#decbe4	Basidiomycota
fASV_513	range	#decbe4	Basidiomycota
fASV_90	range	#b3cde3	Mortierellomycota
fASV_57	range	#b3cde3	Mortierellomycota
fASV_80	range	#b3cde3	Mortierellomycota
fASV_194	range	#b3cde3	Mortierellomycota
fASV_821	range	#b3cde3	Mortierellomycota
fASV_22	range	#b3cde3	Mortierellomycota
fASV_1467	range	#b3cde3	Mortierellomycota
fASV_270	range	#ccebc5	Chytridiomycota
fASV_75	range	#ccebc5	Chytridiomycota
fASV_77	range	#ccebc5	Chytridiomycota
