LABELS
SEPARATOR TAB
DATA
fASV_270	Lobulomycetales_gen_Incertae_sedis
fASV_75	Rhizophlyctis
fASV_77	Sonoraphlyctis
fASV_985	Cladosporium
fASV_373	Cladosporium
fASV_1080	Cryptococcus
fASV_90	Mortierellales_gen_Incertae_sedis
fASV_57	Mortierellales_gen_Incertae_sedis
fASV_194	Mortierellales_gen_Incertae_sedis
fASV_821	Mortierellales_gen_Incertae_sedis
fASV_49	Oliveonia
fASV_513	Thanatephorus
fASV_180	Cystofilobasidium
fASV_195	Xenodidymella
fASV_187	Alternaria
fASV_298	Paraphoma
fASV_160	Arcuadendron
fASV_87	Aspergillus
fASV_215	Penicillium
fASV_39	Penicillium
fASV_532	Talaromyces
fASV_854	Talaromyces
fASV_349	Aspergillus
fASV_125	Hypocreales_gen_Incertae_sedis
fASV_97	Hymenoscyphus
fASV_456	Leptodophora
fASV_961	Sporidesmiella
fASV_136	Cladorrhinum
fASV_128	Cladorrhinum
fASV_545	Branch06_gen_Incertae_sedis
fASV_1328	Ophiocordycipitaceae_gen_Incertae_sedis
fASV_515	Fusicolla
fASV_401	Fusicolla
fASV_490	Keithomyces
fASV_170	Metapochonia
fASV_166	Metacordyceps
fASV_186	Acremonium
fASV_252	Neocosmospora
fASV_135	Fusarium
fASV_228	Fusarium
fASV_189	Fusarium
fASV_139	Fusarium
fASV_137	Fusarium
