OTU_ID	49_ITS	50_ITS	51_ITS	52_ITS	53_ITS	54_ITS	55_ITS	56_ITS	57_ITS	58_ITS	59_ITS	60_ITS	61_ITS	62_ITS	63_ITS	64_ITS	65_ITS	66_ITS	67_ITS	68_ITS	69_ITS	70_ITS	71_ITS	72_ITS	73_ITS	74_ITS	75_ITS	76_ITS	77_ITS	78_ITS	79_ITS	80_ITS	81_ITS	82_ITS	83_ITS	84_ITS	85_ITS	86_ITS	87_ITS	88_ITS	89_ITS	90_ITS	91_ITS	92_ITS	93_ITS	94_ITS	125_ch_ITS	95_ITS	96_ITS	85_ch_ITS	86_ch_ITS	87_ch_ITS	88_ch_ITS	89_ch_ITS	90_ch_ITS	91_ch_ITS	92_ch_ITS	93_ch_ITS	94_ch_ITS	96_ch_ITS	97_ch_ITS	98_ch_ITS	99_ch_ITS	100_ch_ITS	101_ch_ITS	102_ch_ITS	126_ch_ITS	103_ch_ITS	127_ch_ITS	104_ch_ITS	128_ch_ITS	105_ch_ITS	129_ch_ITS	106_ch_ITS	130_ch_ITS	107_ch_ITS	131_ch_ITS	132_ch_ITS	109_ch_ITS	118_ch_ITS	110_ch_ITS	119_ch_ITS	111_ch_ITS	120_ch_ITS	112_ch_ITS	121_ch_ITS	113_ch_ITS	122_ch_ITS	114_ch_ITS	115_ch_ITS	124_ch_ITS	116_ch_ITS	6_ITS	7_ITS	9_ITS	13_ITS	14_ITS	16_ITS	17_ITS	18_ITS	20_ITS	21_ITS	22_ITS	23_ITS	24_ITS	25_ITS	26_ITS	27_ITS	28_ITS	29_ITS	30_ITS	32_ITS	33_ITS	34_ITS	38_ITS	39_ITS	40_ITS	43_ITS	44_ITS	45_ITS	46_ITS	48_ITS	taxonomy	Taxon	Taxon Level	Trophic Mode	Guild	Growth Morphology	Trait	Confidence Ranking	Notes	Citation/Source
fASV_1	81751	59191	132	14164	56848	125	125	44074	7563	76372	97	102159	3766	6163	111	35896	41	144602	7886	33	25	24695	29	31	49034	64929	3305	72106	15465	135204	28947	33986	83435	13640	34196	87787	61	24906	1260	8687	48438	34897	15549	5609	3978	7705	14431	157338	21893	78289	30272	9731	477	7146	48701	36856	16314	1451	36158	10208	2149	5271	1317	30950	164	4289	126454	21492	97254	46181	147040	2145	108739	6324	29515	73059	87345	113946	78769	109817	74740	80732	317	137802	2604	101786	117291	5730	97400	134719	24681	97602	11560	7361	67925	4230	13554	7836	141033	7689	16514	35	29	14119	50007	118105	15862	45112	8786	12420	15374	59219	23186	36	5758	1761	1757	22	32397	2138	12899	3359	k__Fungi;p__Olpidiomycota;c__Olpidiomycetes;o__Olpidiales;f__Olpidiaceae;g__Olpidium;s__Olpidium_brassicae	Olpidium	13	Pathotroph	|Algal Parasite|-Plant Pathogen	Microfungus-Plasmodium	NULL	Probable	As Biotroph (Tedersoo et al. 2014); As root_pathogen (Põlme et al. 2020); Syn. Asterocystis, Olpidiaster (Karling 1937)	Karling JS. 1937. Mycologia 29:91–94 ((https://doi.org/10.2307/3754285)); Devasahayam HL, Henry LDC. 2009. Illustrated Plant Pathology, New India Publishing, New Delhi ((https://books.google.com/books?id=rjVY6XeBZYgC)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))
fASV_2	6883	20132	26522	47894	4680	44675	6514	13304	10761	0	13276	16452	54827	13592	49952	0	23477	0	0	10968	8644	0	36468	24889	46106	3667	50231	3630	40335	0	0	13639	6615	15481	15010	10090	0	0	38239	14663	18432	17390	26588	19278	22557	33298	0	4117	13592	0	2063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2232	0	1945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;NA	Fusarium	13	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Endophyte-Lichen Parasite-|Plant Pathogen|-Plant Saprotroph-Undefined Saprotroph-Wood Saprotroph	Microfungus	Soft Rot	Possible	As foliar_endophyte (Põlme et al. 2020); As litter_saprotroph (Põlme et al. 2020); Causing damping-off disease (Põlme et al. 2020); Decay leaf, fruit, seed, roots, soil, animal material (Põlme et al. 2020); Likely opportunistic human pathogen (Irinyi et al. 2015)	Duncan CG, Eslyn WE. 1966. Mycologia 58:642-664 ((https://doi.org/10.2307/3757045)); Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Irinyi L, et al. 2015. Medical Mycology 53:313-337 ((https://doi.org/10.1093/mmy/myv008)); Schroers, et al. 2016. Mycologia 108:806-819 ((https://doi.org/10.3852/15-255)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx)); Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))
fASV_7	30	25	22	34	27	47	20	23	0	7	0	6	0	7772	83	8	0	0	0	5731	8	843	0	0	47	0	0	0	17	0	0	0	0	0	0	21	0	0	0	15	0	0	11	0	0	9	0	0	0	24	8	12	326	27060	9	9	12	37	5253	62104	30	33	66213	23	43	78684	326	17	34	6466	30	20	35	6226	66961	24	23	743	40	18	4	17	0	16	7	29	6397	61589	23020	0	44	42	11	101	0	3	0	6554	0	0	0	0	5	0	0	12	0	6	7	6	8	0	0	0	0	0	0	16	15	18	2358	9	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;NA;NA;NA	Mortierellales	7	Saprotroph-Symbiotroph	Endophyte-Soil Saprotroph-Undefined Saprotroph	Microfungus	NULL	Possible	Saprobic in soil and thus frequenctly isolated from soil and material contaminated with soil such as hay or rotten silage and spoil tips (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158 ((https://doi.org/10.1111/nph.13426)); David AS, et al. 2016. Microbial Ecology 71:912-926 ((https://doi.org/10.1007/s00248-015-0712-6))
fASV_3	454	2929	469	192	284	339	4108	3035	815	3147	3031	1279	191	196	1378	152	10410	1253	127	3066	8352	1465	140	4394	8427	71745	158	215	116	143	264	3085	228	667	137	908	3140	118	198	510	302	8535	3975	342	937	694	134	331	127	226	11916	1056	1818	111	85	240	3857	180	149	797	157	996	599	1531	5683	751	413	113	108	8550	146	96	161	270	261	479	160	260	426	722	180	198	242	148	152	185	281	315	390	165	31	40	58340	20185	9937	4572	376	70	3292	72	90	193	74	4380	21263	1733	22630	2588	94	129	5344	168	571	210	13469	5602	9110	5626	10381	5521	170	2064	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Acremonium;NA	Acremonium	13	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Endophyte-Fungal Parasite-Plant Pathogen-|Undefined Saprotroph|-Wood Saprotroph	Microfungus	Soft Rot	Possible	As foliar_endophyte (Põlme et al. 2020); culture (Hanada et al. 2010, Del Olmo; Decay leaf, fruit, seed, soil, dung, animal material (Põlme et al. 2020); Endophyte detection method; Ruiz & Arnold 2014); Likely opportunistic human pathogen (Irinyi et al. 2015)	Duncan CG, Eslyn WE. 1966. Mycologia 58:642-645 ((https://doi.org/10.2307/3757045)); Nilsson T. 1973. Studia Forestalia Suecica 104:1-40 ((https://pub.epsilon.slu.se/5711/)); Worrall JJ, et al. 1997. Mycologia 89:199-219 ((https://doi.org/10.2307/3761073)); Hanada RE, et al. 2010. Fungal Biology 114:901-910 ((https://doi.org/10.1016/j.funbio.2010.08.006)); Del Olmo-Ruiz M, Arnold AE. 2014. Mycologia 106:8-21 ((https://doi.org/10.3852/13-098)); Irinyi L, et al. 2015. Medical Mycology 53313-337 ((https://doi.org/10.1093/mmy/myv008)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))
fASV_6	832	333	381	6131	595	58	2377	66	160	0	8003	503	0	0	425	473	0	136	7	0	0	129	0	0	148	16	2169	14	17	329	0	624	0	1074	294	228	38618	0	4713	782	0	80	1043	133	462	0	6384	663	998	17654	0	25348	18344	0	0	25	10450	12837	0	7801	0	49244	1194	14	0	11720	169	24666	632	27	120	67455	554	22417	638	4616	5753	890	6659	10902	0	25	0	718	2019	0	1100	32	15	0	353	0	13	485	0	20	131	1096	0	0	774	25	2003	0	0	104	15	0	21	19	0	12	218	969	0	63	0	0	0	0	343	0	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellales_fam_Incertae_sedis;g__Mortierellales_gen_Incertae_sedis;s__Mortierellales_sp	Mortierellales	7	Saprotroph-Symbiotroph	Endophyte-Soil Saprotroph-Undefined Saprotroph	Microfungus	NULL	Possible	Saprobic in soil and thus frequenctly isolated from soil and material contaminated with soil such as hay or rotten silage and spoil tips (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158 ((https://doi.org/10.1111/nph.13426)); David AS, et al. 2016. Microbial Ecology 71:912-926 ((https://doi.org/10.1007/s00248-015-0712-6))
fASV_8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6640	0	0	0	0	0	0	0	0	0	0	0	14758	0	0	0	0	0	0	0	23925	0	2353	0	2649	0	2468	1303	0	0	0	1885	445	0	0	9761	0	0	1854	0	1031	0	0	18440	35181	11669	0	22303	18021	0	43181	0	0	0	41850	0	16072	0	0	28371	0	0	0	14613	0	19829	0	0	38194	0	0	10642	0	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;NA	Fusarium	13	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Endophyte-Lichen Parasite-|Plant Pathogen|-Plant Saprotroph-Undefined Saprotroph-Wood Saprotroph	Microfungus	Soft Rot	Possible	As foliar_endophyte (Põlme et al. 2020); As litter_saprotroph (Põlme et al. 2020); Causing damping-off disease (Põlme et al. 2020); Decay leaf, fruit, seed, roots, soil, animal material (Põlme et al. 2020); Likely opportunistic human pathogen (Irinyi et al. 2015)	Duncan CG, Eslyn WE. 1966. Mycologia 58:642-664 ((https://doi.org/10.2307/3757045)); Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Irinyi L, et al. 2015. Medical Mycology 53:313-337 ((https://doi.org/10.1093/mmy/myv008)); Schroers, et al. 2016. Mycologia 108:806-819 ((https://doi.org/10.3852/15-255)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx)); Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))
fASV_4	22	0	275	27	27	33	31	208	80	4569	14	12	38	19677	6049	435	1910	0	12	45	0	282	0	0	344	102	799	17	16	8	422	17	1083	79	303	17	909	6309	10	0	38	0	19	959	32245	32	21	170	13159	29	0	36	8636	7394	72	44211	21567	46	8725	0	517	140	5205	28097	0	0	16	443	13	79	71	9575	0	19	2052	1330	15	1817	5195	37	18112	26	7799	55	40676	4897	137	1652	31	10	12089	1485	491	21	559	710	130	5922	17	11	10	20563	17	12	239	17	16	4	10	19	15	22	1486	165	0	22	20	590	179	1191	277	14	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellales_fam_Incertae_sedis;g__Mortierellales_gen_Incertae_sedis;s__Mortierellales_sp	Mortierellales	7	Saprotroph-Symbiotroph	Endophyte-Soil Saprotroph-Undefined Saprotroph	Microfungus	NULL	Possible	Saprobic in soil and thus frequenctly isolated from soil and material contaminated with soil such as hay or rotten silage and spoil tips (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158 ((https://doi.org/10.1111/nph.13426)); David AS, et al. 2016. Microbial Ecology 71:912-926 ((https://doi.org/10.1007/s00248-015-0712-6))
fASV_10	984	888	4397	1001	2203	0	3391	4507	2751	0	4107	433	0	5540	3462	10917	12665	0	1526	7622	0	887	1661	2640	1005	0	2924	0	824	0	529	5938	7603	8744	8799	2197	3215	5375	1184	19485	0	6378	6145	1956	1558	16481	1269	617	10398	0	0	0	0	0	0	1037	0	399	0	385	30	217	200	0	0	1802	12	0	0	1063	17	0	1338	0	329	334	171	0	121	0	255	155	0	92	1073	693	0	0	257	0	0	16	3745	5059	6855	3820	3501	1782	1496	2119	9409	0	6554	842	1903	717	8547	9052	11233	6434	7011	1835	1920	16338	1997	5173	0	5495	2406	811	3158	2015	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium;NA	Penicillium	13	Pathotroph-Saprotroph-Symbiotroph	Animal Parasite-Dung Saprotroph-Endophyte-Fungal Parasite-Plant Pathogen-|Undefined Saprotroph|-Wood Saprotroph	Microfungus	Soft Rot	Highly Probable	As foliar_endophyte (Põlme et al. 2020); As mycoparasite (Põlme et al. 2020); Decay soil (Põlme et al. 2020)	Duncan CG, Eslyn WE. 1966. Mycologia 58:642-664 ((https://doi.org/10.2307/3757045)); Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany ((https://www.irg-wp.com/irgdocs/details.php?d6493033-c9ea-40f3-8e3e-5697f32d640d)); Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)); Bills GF, et al. 2013. Current Opinion in Microbiology 16:549-565 ((https://doi.org/10.1016/j.mib.2013.08.001)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))
fASV_12	1726	2312	2353	3220	2308	3640	0	2394	5646	1319	2479	0	2102	8175	7653	5258	5304	0	26809	1019	1003	1302	1072	3440	1766	0	3222	2438	750	0	2194	1213	2886	7980	12741	1690	4170	0	0	3130	0	570	3728	12990	2079	10540	0	567	2114	0	510	18	0	0	0	0	3790	0	0	280	0	0	0	0	1072	701	0	95	0	3005	0	3644	0	1144	0	0	0	204	0	101	0	0	0	0	1517	282	334	481	0	0	193	0	1063	1416	4149	5956	377	458	1365	7589	2777	0	0	8433	633	632	1430	4204	8446	0	1988	3106	3044	10192	1937	3265	607	5795	4072	3272	2055	664	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium;NA	Penicillium	13	Pathotroph-Saprotroph-Symbiotroph	Animal Parasite-Dung Saprotroph-Endophyte-Fungal Parasite-Plant Pathogen-|Undefined Saprotroph|-Wood Saprotroph	Microfungus	Soft Rot	Highly Probable	As foliar_endophyte (Põlme et al. 2020); As mycoparasite (Põlme et al. 2020); Decay soil (Põlme et al. 2020)	Duncan CG, Eslyn WE. 1966. Mycologia 58:642-664 ((https://doi.org/10.2307/3757045)); Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany ((https://www.irg-wp.com/irgdocs/details.php?d6493033-c9ea-40f3-8e3e-5697f32d640d)); Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)); Bills GF, et al. 2013. Current Opinion in Microbiology 16:549-565 ((https://doi.org/10.1016/j.mib.2013.08.001)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))
fASV_9	1107	4285	4013	5379	1084	3657	2328	3123	2251	3987	1078	715	3656	848	1285	8430	785	227	2975	1034	920	10355	1240	6995	2614	1363	5914	0	5627	512	1218	7724	4261	8286	7301	1514	4597	3692	934	3839	36	6531	1157	7293	3402	7871	653	0	3211	0	35	3779	167	0	0	43	0	836	1971	0	126	992	284	544	21	200	0	177	63	380	67	515	258	795	0	0	59	145	0	817	223	109	0	38	1327	147	107	404	168	0	0	42	1687	2842	1583	1075	2839	1693	1315	0	3428	812	5641	4841	3770	1111	1212	3156	3157	791	16	1047	3055	0	1347	1793	6153	9462	4376	459	9048	3980	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium;s__Penicillium_rotoruae	Penicillium	13	Pathotroph-Saprotroph-Symbiotroph	Animal Parasite-Dung Saprotroph-Endophyte-Fungal Parasite-Plant Pathogen-|Undefined Saprotroph|-Wood Saprotroph	Microfungus	Soft Rot	Highly Probable	As foliar_endophyte (Põlme et al. 2020); As mycoparasite (Põlme et al. 2020); Decay soil (Põlme et al. 2020)	Duncan CG, Eslyn WE. 1966. Mycologia 58:642-664 ((https://doi.org/10.2307/3757045)); Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany ((https://www.irg-wp.com/irgdocs/details.php?d6493033-c9ea-40f3-8e3e-5697f32d640d)); Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)); Bills GF, et al. 2013. Current Opinion in Microbiology 16:549-565 ((https://doi.org/10.1016/j.mib.2013.08.001)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))
