OTU_ID	49_ITS	50_ITS	51_ITS	52_ITS	53_ITS	54_ITS	55_ITS	56_ITS	57_ITS	58_ITS	59_ITS	60_ITS	61_ITS	62_ITS	63_ITS	64_ITS	65_ITS	66_ITS	67_ITS	68_ITS	69_ITS	70_ITS	71_ITS	72_ITS	73_ITS	74_ITS	75_ITS	76_ITS	77_ITS	78_ITS	79_ITS	80_ITS	81_ITS	82_ITS	83_ITS	84_ITS	85_ITS	86_ITS	87_ITS	88_ITS	89_ITS	90_ITS	91_ITS	92_ITS	93_ITS	94_ITS	125_ch_ITS	95_ITS	96_ITS	85_ch_ITS	86_ch_ITS	87_ch_ITS	88_ch_ITS	89_ch_ITS	90_ch_ITS	91_ch_ITS	92_ch_ITS	93_ch_ITS	94_ch_ITS	Blank_CH_ITS	96_ch_ITS	97_ch_ITS	98_ch_ITS	99_ch_ITS	100_ch_ITS	101_ch_ITS	102_ch_ITS	126_ch_ITS	103_ch_ITS	127_ch_ITS	104_ch_ITS	128_ch_ITS	105_ch_ITS	129_ch_ITS	106_ch_ITS	130_ch_ITS	107_ch_ITS	131_ch_ITS	108_ch_ITS	132_ch_ITS	117_ch_ITS	109_ch_ITS	118_ch_ITS	110_ch_ITS	119_ch_ITS	111_ch_ITS	120_ch_ITS	112_ch_ITS	121_ch_ITS	113_ch_ITS	122_ch_ITS	114_ch_ITS	123_ch_ITS	115_ch_ITS	124_ch_ITS	116_ch_ITS	1_ITS	2_ITS	3_ITS	4_ITS	5_ITS	6_ITS	7_ITS	8_ITS	9_ITS	10_ITS	11_ITS	12_ITS	13_ITS	14_ITS	15_ITS	16_ITS	17_ITS	18_ITS	19_ITS	20_ITS	21_ITS	22_ITS	23_ITS	24_ITS	25_ITS	26_ITS	27_ITS	28_ITS	29_ITS	30_ITS	31_ITS	32_ITS	33_ITS	34_ITS	35_ITS	36_ITS	37_ITS	38_ITS	39_ITS	40_ITS	41_ITS	42_ITS	43_ITS	44_ITS	45_ITS	46_ITS	47_ITS	48_ITS	Blank_S1_ITS	taxonomy
fASV_18	0	915	1076	1939	0	0	0	0	13459	0	0	148	0	1571	0	0	2322	0	0	15474	7070	0	1851	0	28	0	0	0	0	0	2019	416	0	3369	552	0	0	239	3408	0	31098	955	0	1012	0	0	147	855	1294	27	6687	1382	10	39	32	148	0	1399	22	10	222	109	79	46	301	0	179	0	13	84	779	55	665	97	213	133	87	569	0	118	0	83	143	148	150	1233	408	1759	269	146	30	381	21	36	165	87	0	0	58	0	0	217	37	63	3173	0	0	0	0	2308	0	755	1288	0	0	2246	19	8175	0	504	0	1127	595	0	2093	25	34	916	0	2656	16	45	20	1647	0	23	18	38	0	1100	0	494	0	2366	41	k__Fungi;p__Olpidiomycota;c__Olpidiomycetes;o__Olpidiales;f__Olpidiaceae;NA;NA
fASV_16	3828	229	0	1090	0	3042	2302	1149	36041	562	7	218	1672	0	375	0	0	154	0	0	1013	0	0	0	206	227	180	0	1625	175	7333	0	0	7667	205	52	2433	1622	1104	73	14352	933	659	656	1281	599	1886	231	1441	0	0	0	0	0	0	0	1093	699	0	0	0	0	0	64	0	11	0	43	0	84	0	0	343	87	0	0	484	226	28	1737	0	198	699	118	87	0	303	1815	113	73	596	121	0	96	1067	0	0	194	0	17	23	422	1519	0	192	22	0	0	4615	1178	21	422	670	4379	12	0	0	346	19	2685	1525	7472	0	50	0	0	0	3246	6807	3648	0	0	0	13985	840	0	0	32	28	1792	929	1206	0	0	0	k__Fungi;p__Olpidiomycota;c__Olpidiomycetes;o__Olpidiales;f__Olpidiaceae;g__Olpidiaster;s__Olpidiaster_brassicae
fASV_1	81751	59191	132	14164	56848	125	125	44074	7563	76372	97	102159	3766	6163	111	35896	41	144602	7886	33	25	24695	29	31	49034	64929	3305	72106	15465	135204	28947	33986	83435	13640	34196	87787	61	24906	1260	8687	48438	34897	15549	5609	3978	7705	14431	157338	21893	78289	30272	9731	477	7146	48701	36856	16314	1451	36158	151	10208	2149	5271	1317	30950	164	4289	126454	21492	97254	46181	147040	2145	108739	6324	29515	73059	87345	313	113946	48421	78769	109817	74740	80732	317	137802	2604	101786	117291	5730	97400	251	134719	24681	97602	9	15801	37	97	41	11560	7361	13	67925	29	23	12	4230	13554	64	7836	141033	7689	26	16514	35	29	14119	50007	118105	15862	45112	8786	12420	15374	67	59219	23186	36	24	101	31	5758	1761	1757	13	11	22	32397	2138	12899	96	3359	33	k__Fungi;p__Olpidiomycota;c__Olpidiomycetes;o__Olpidiales;f__Olpidiaceae;g__Olpidium;s__Olpidium_brassicae
fASV_17	468	228	893	2051	14	1516	5808	5761	1188	896	4838	1212	6	147	1611	943	19	349	590	2726	6	222	333	4500	629	11	364	11	11	15	806	506	773	2603	738	513	439	2277	1672	430	8334	1833	1906	880	24	46	473	123	1760	22	39	1071	150	31	11	320	1427	23	36	34	15	32	221	23	11	717	35	11	117	95	618	74	71	86	85	12	159	12	21	31	14	56	17	24	20	23	49	439	87	18	10	145	8	17	0	11	14	50	31	9	47	411	2914	32	300	48	29	37	1254	1577	43	1609	388	31	43	948	22	29	32	44	419	1586	1652	26	5322	63	21	1534	539	3748	45	31	13	19	30	28	21	43	1399	626	1628	1822	32	6318	12	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Linnemannia;NA
fASV_66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14296	0	0	2079	832	0	602	0	310	0	0	59	0	0	0	0	0	0	0	0	0	0	3170	0	6978	37	0	0	0	24	0	0	0	0	0	247	182	124	336	0	154	0	0	74	0	546	0	0	0	0	0	0	0	0	0	244	161	0	412	0	0	0	0	0	0	0	0	1863	0	0	1441	0	0	0	113	0	278	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	358	0	1454	0	0	0	0	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;NA;NA
fASV_7	30	25	22	34	27	47	20	23	0	7	0	6	0	7772	83	8	0	0	0	5731	8	843	0	0	47	0	0	0	17	0	0	0	0	0	0	21	0	0	0	15	0	0	11	0	0	9	0	0	0	24	8	12	326	27060	9	9	12	37	5253	40	62104	30	33	66213	23	43	78684	326	17	34	6466	30	20	35	6226	66961	24	23	16	743	77	40	18	4	17	0	16	7	29	6397	61589	23020	8	0	44	42	5	450	8	5	0	11	101	21	0	0	0	0	3	0	0	6554	0	0	0	0	0	5	0	0	12	0	6	7	6	8	0	0	0	0	0	15	62	0	0	0	18	0	16	15	18	2358	14	9	0	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;NA;NA;NA
fASV_4	22	0	275	27	27	33	31	208	80	4569	14	12	38	19677	6049	435	1910	0	12	45	0	282	0	0	344	102	799	17	16	8	422	17	1083	79	303	17	909	6309	10	0	38	0	19	959	32245	32	21	170	13159	29	0	36	8636	7394	72	44211	21567	46	8725	35	0	517	140	5205	28097	0	0	16	443	13	79	71	9575	0	19	2052	1330	15	0	1817	23	5195	37	18112	26	7799	55	40676	4897	137	1652	31	0	10	12089	1485	0	5	0	11	0	491	21	12	559	14	22	80	710	130	21	5922	17	11	52	10	20563	17	12	239	17	16	4	10	19	15	10	22	1486	165	43	21	63	0	22	20	11	20	590	179	1191	277	10	14	0	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellales_fam_Incertae_sedis;g__Mortierellales_gen_Incertae_sedis;s__Mortierellales_sp
fASV_55	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3626	0	0	0	0	42654	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellales_fam_Incertae_sedis;g__Mortierellales_gen_Incertae_sedis;s__Mortierellales_sp
fASV_61	0	0	0	0	0	0	0	0	0	0	0	0	0	325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2622	0	0	0	0	750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellales_fam_Incertae_sedis;g__Mortierellales_gen_Incertae_sedis;s__Mortierellales_sp
fASV_6	832	333	381	6131	595	58	2377	66	160	0	8003	503	0	0	425	473	0	136	7	0	0	129	0	0	148	16	2169	14	17	329	0	624	0	1074	294	228	38618	0	4713	782	0	80	1043	133	462	0	6384	663	998	17654	0	25348	18344	0	0	25	10450	12837	0	16	7801	0	49244	1194	14	0	11720	169	24666	632	27	120	67455	554	22417	638	4616	5753	22	890	202	6659	10902	0	25	0	718	2019	0	1100	32	15	15	0	353	0	15	27	19	14	20	13	485	37	0	12	19	23	20	131	16	1096	0	0	14	774	25	2003	0	0	104	15	0	21	19	0	0	12	218	969	12	15	0	0	63	0	0	0	0	0	0	343	13	0	12	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellales_fam_Incertae_sedis;g__Mortierellales_gen_Incertae_sedis;s__Mortierellales_sp
