"","ID","Block","Phase","Experiment","soil_inocula","herbivory","time_point","count"
"1","136","1","feedback","simulated","control-conditioned","aphid","dpi_8",35
"2","136","1","feedback","simulated","control-conditioned","aphid","dpi_14",338
"3","137","2","feedback","simulated","control-conditioned","aphid","dpi_8",36
"4","137","2","feedback","simulated","control-conditioned","aphid","dpi_14",226
"5","138","3","feedback","simulated","control-conditioned","aphid","dpi_8",16
"6","138","3","feedback","simulated","control-conditioned","aphid","dpi_14",90
"7","139","4","feedback","simulated","control-conditioned","aphid","dpi_8",26
"8","139","4","feedback","simulated","control-conditioned","aphid","dpi_14",107
"9","140","5","feedback","simulated","control-conditioned","aphid","dpi_8",28
"10","140","5","feedback","simulated","control-conditioned","aphid","dpi_14",193
"11","141","6","feedback","simulated","control-conditioned","aphid","dpi_8",21
"12","141","6","feedback","simulated","control-conditioned","aphid","dpi_14",213
"13","142","7","feedback","simulated","control-conditioned","aphid","dpi_8",9
"14","142","7","feedback","simulated","control-conditioned","aphid","dpi_14",26
"15","143","8","feedback","simulated","control-conditioned","aphid","dpi_8",22
"16","143","8","feedback","simulated","control-conditioned","aphid","dpi_14",72
"17","144","9","feedback","simulated","control-conditioned","aphid","dpi_8",28
"18","144","9","feedback","simulated","control-conditioned","aphid","dpi_14",184
"19","196","1","feedback","simulated","JA-conditioned","aphid","dpi_8",17
"20","196","1","feedback","simulated","JA-conditioned","aphid","dpi_14",166
"21","197","2","feedback","simulated","JA-conditioned","aphid","dpi_8",40
"22","197","2","feedback","simulated","JA-conditioned","aphid","dpi_14",344
"23","198","3","feedback","simulated","JA-conditioned","aphid","dpi_8",30
"24","198","3","feedback","simulated","JA-conditioned","aphid","dpi_14",165
"25","199","4","feedback","simulated","JA-conditioned","aphid","dpi_8",29
"26","199","4","feedback","simulated","JA-conditioned","aphid","dpi_14",203
"27","200","5","feedback","simulated","JA-conditioned","aphid","dpi_8",43
"28","200","5","feedback","simulated","JA-conditioned","aphid","dpi_14",213
"29","201","6","feedback","simulated","JA-conditioned","aphid","dpi_8",13
"30","201","6","feedback","simulated","JA-conditioned","aphid","dpi_14",112
"31","202","7","feedback","simulated","JA-conditioned","aphid","dpi_8",37
"32","202","7","feedback","simulated","JA-conditioned","aphid","dpi_14",175
"33","203","8","feedback","simulated","JA-conditioned","aphid","dpi_8",6
"34","203","8","feedback","simulated","JA-conditioned","aphid","dpi_14",56
"35","204","9","feedback","simulated","JA-conditioned","aphid","dpi_8",31
"36","204","9","feedback","simulated","JA-conditioned","aphid","dpi_14",60
"37","205","10","feedback","simulated","JA-conditioned","aphid","dpi_8",76
"38","205","10","feedback","simulated","JA-conditioned","aphid","dpi_14",540
"39","226","1","feedback","simulated","SA-conditioned","aphid","dpi_8",19
"40","226","1","feedback","simulated","SA-conditioned","aphid","dpi_14",137
"41","227","2","feedback","simulated","SA-conditioned","aphid","dpi_8",51
"42","227","2","feedback","simulated","SA-conditioned","aphid","dpi_14",350
"43","228","3","feedback","simulated","SA-conditioned","aphid","dpi_8",19
"44","228","3","feedback","simulated","SA-conditioned","aphid","dpi_14",159
"45","229","4","feedback","simulated","SA-conditioned","aphid","dpi_8",46
"46","229","4","feedback","simulated","SA-conditioned","aphid","dpi_14",256
"47","230","5","feedback","simulated","SA-conditioned","aphid","dpi_8",43
"48","230","5","feedback","simulated","SA-conditioned","aphid","dpi_14",274
"49","231","6","feedback","simulated","SA-conditioned","aphid","dpi_8",33
"50","231","6","feedback","simulated","SA-conditioned","aphid","dpi_14",192
"51","232","7","feedback","simulated","SA-conditioned","aphid","dpi_8",73
"52","232","7","feedback","simulated","SA-conditioned","aphid","dpi_14",536
"53","233","8","feedback","simulated","SA-conditioned","aphid","dpi_8",17
"54","233","8","feedback","simulated","SA-conditioned","aphid","dpi_14",79
"55","234","9","feedback","simulated","SA-conditioned","aphid","dpi_8",57
"56","234","9","feedback","simulated","SA-conditioned","aphid","dpi_14",328
"57","235","10","feedback","simulated","SA-conditioned","aphid","dpi_8",21
"58","235","10","feedback","simulated","SA-conditioned","aphid","dpi_14",198
"59","256","1","feedback","real_insects","control-conditioned","aphids","dpi_8",25
"60","256","1","feedback","real_insects","control-conditioned","aphids","dpi_14",155
"61","257","2","feedback","real_insects","control-conditioned","aphids","dpi_8",37
"62","257","2","feedback","real_insects","control-conditioned","aphids","dpi_14",302
"63","258","3","feedback","real_insects","control-conditioned","aphids","dpi_8",14
"64","258","3","feedback","real_insects","control-conditioned","aphids","dpi_14",97
"65","259","4","feedback","real_insects","control-conditioned","aphids","dpi_8",19
"66","259","4","feedback","real_insects","control-conditioned","aphids","dpi_14",114
"67","260","5","feedback","real_insects","control-conditioned","aphids","dpi_8",13
"68","260","5","feedback","real_insects","control-conditioned","aphids","dpi_14",115
"69","261","6","feedback","real_insects","control-conditioned","aphids","dpi_8",12
"70","261","6","feedback","real_insects","control-conditioned","aphids","dpi_14",61
"71","262","7","feedback","real_insects","control-conditioned","aphids","dpi_8",15
"72","262","7","feedback","real_insects","control-conditioned","aphids","dpi_14",86
"73","263","8","feedback","real_insects","control-conditioned","aphids","dpi_8",23
"74","263","8","feedback","real_insects","control-conditioned","aphids","dpi_14",107
"75","264","9","feedback","real_insects","control-conditioned","aphids","dpi_8",15
"76","264","9","feedback","real_insects","control-conditioned","aphids","dpi_14",91
"77","265","10","feedback","real_insects","control-conditioned","aphids","dpi_8",23
"78","265","10","feedback","real_insects","control-conditioned","aphids","dpi_14",88
"79","316","1","feedback","real_insects","JA-conditioned","aphids","dpi_8",20
"80","316","1","feedback","real_insects","JA-conditioned","aphids","dpi_14",118
"81","317","2","feedback","real_insects","JA-conditioned","aphids","dpi_8",14
"82","317","2","feedback","real_insects","JA-conditioned","aphids","dpi_14",66
"83","318","3","feedback","real_insects","JA-conditioned","aphids","dpi_8",20
"84","318","3","feedback","real_insects","JA-conditioned","aphids","dpi_14",109
"85","319","4","feedback","real_insects","JA-conditioned","aphids","dpi_8",9
"86","319","4","feedback","real_insects","JA-conditioned","aphids","dpi_14",50
"87","320","5","feedback","real_insects","JA-conditioned","aphids","dpi_8",8
"88","320","5","feedback","real_insects","JA-conditioned","aphids","dpi_14",52
"89","321","6","feedback","real_insects","JA-conditioned","aphids","dpi_8",76
"90","321","6","feedback","real_insects","JA-conditioned","aphids","dpi_14",460
"91","322","7","feedback","real_insects","JA-conditioned","aphids","dpi_8",15
"92","322","7","feedback","real_insects","JA-conditioned","aphids","dpi_14",84
"93","323","8","feedback","real_insects","JA-conditioned","aphids","dpi_8",17
"94","323","8","feedback","real_insects","JA-conditioned","aphids","dpi_14",103
"95","324","9","feedback","real_insects","JA-conditioned","aphids","dpi_8",22
"96","324","9","feedback","real_insects","JA-conditioned","aphids","dpi_14",164
"97","325","10","feedback","real_insects","JA-conditioned","aphids","dpi_8",43
"98","325","10","feedback","real_insects","JA-conditioned","aphids","dpi_14",186
"99","346","1","feedback","real_insects","SA-conditioned","aphids","dpi_8",23
"100","346","1","feedback","real_insects","SA-conditioned","aphids","dpi_14",121
"101","347","2","feedback","real_insects","SA-conditioned","aphids","dpi_8",12
"102","347","2","feedback","real_insects","SA-conditioned","aphids","dpi_14",51
"103","348","3","feedback","real_insects","SA-conditioned","aphids","dpi_8",19
"104","348","3","feedback","real_insects","SA-conditioned","aphids","dpi_14",115
"105","349","4","feedback","real_insects","SA-conditioned","aphids","dpi_8",46
"106","349","4","feedback","real_insects","SA-conditioned","aphids","dpi_14",203
