"","Experiment","soil_inocula","ID","n","mean","sd","se"
"1","simulated","control-conditioned","147",3,31.74,7.83093864105702,4.52119453242172
"2","simulated","control-conditioned","148",4,27.4075,21.6745217171375,10.8372608585688
"3","simulated","control-conditioned","149",5,21.4,7.03138322096016,3.14453017158367
"4","simulated","control-conditioned","150",5,17.142,8.24101753426117,3.68549508207513
"5","simulated","control-conditioned","151",5,18.004,7.92628727715568,3.54474343218236
"6","simulated","control-conditioned","152",4,28.075,12.969115878373,6.4845579391865
"7","simulated","control-conditioned","153",4,12.805,3.80349400770747,1.90174700385374
"8","simulated","control-conditioned","154",5,26.092,14.1046293818732,6.30778201906185
"9","simulated","control-conditioned","155",3,19.75,6.22653194001283,3.59488989168421
"10","simulated","JA-conditioned","206",4,10.1375,1.15237074474031,0.576185372370154
"11","simulated","JA-conditioned","207",4,20.8475,12.0729294290988,6.0364647145494
"12","simulated","JA-conditioned","209",5,17.97,13.2880246839024,5.94258529598019
"13","simulated","JA-conditioned","210",5,18.688,2.53410141864922,1.13328460679566
"14","simulated","JA-conditioned","211",4,28.745,16.6824348742422,8.34121743712111
"15","simulated","JA-conditioned","212",4,20.4475,8.35951503776784,4.17975751888392
"16","simulated","JA-conditioned","213",5,18.578,7.6894681220485,3.43883468634362
"17","simulated","JA-conditioned","214",4,25.3825,7.06864614571513,3.53432307285756
"18","simulated","SA-conditioned","236",4,25.6725,10.6607047140421,5.33035235702106
"19","simulated","SA-conditioned","237",4,22.0275,12.9781261487679,6.48906307438395
"20","simulated","SA-conditioned","238",4,18.645,7.24195415616531,3.62097707808265
"21","simulated","SA-conditioned","239",4,15.355,9.58425966537496,4.79212983268748
"22","simulated","SA-conditioned","240",4,25.5875,16.8368789170281,8.41843945851407
"23","simulated","SA-conditioned","241",4,25.99,13.8027340286867,6.90136701434337
"24","simulated","SA-conditioned","242",4,34.135,20.9630508275871,10.4815254137935
"25","simulated","SA-conditioned","243",5,16.09,3.07685716275553,1.3760123545957
"26","simulated","SA-conditioned","244",4,19.0725,12.2931834092449,6.14659170462243
"27","simulated","SA-conditioned","245",5,31.188,13.976742109662,6.25058909223763
"28","real_insects","control-conditioned","266",3,7.21,1.44357195871907,0.833446658961048
"29","real_insects","control-conditioned","267",3,8.11,3.70125654339172,2.13692146166707
"30","real_insects","control-conditioned","268",3,7.85333333333333,4.91162227103564,2.83572644034019
"31","real_insects","control-conditioned","269",5,4.81,2.1157622739807,0.946197653770078
"32","real_insects","control-conditioned","270",4,4.58,1.57951469340005,0.789757346700027
"33","real_insects","control-conditioned","271",3,6.14666666666667,0.630026454471027,0.363745943085433
"34","real_insects","control-conditioned","272",3,4.95,1.5669396925217,0.904673053281313
"35","real_insects","control-conditioned","273",3,5.46666666666667,1.68470571119508,0.972665295863782
"36","real_insects","control-conditioned","274",4,4.945,2.17331543959914,1.08665771979957
"37","real_insects","control-conditioned","275",2,7.25,0.876812408671319,0.62
"38","real_insects","JA-conditioned","326",4,6.5625,2.57536243404043,1.28768121702022
"39","real_insects","JA-conditioned","327",4,8.845,3.64363829159811,1.82181914579906
"40","real_insects","JA-conditioned","328",1,8.3,NA,NA
"41","real_insects","JA-conditioned","329",3,8.9,5.91698402904723,3.41617232196114
"42","real_insects","JA-conditioned","330",5,4.058,1.92527140943816,0.861007549328111
"43","real_insects","JA-conditioned","331",5,4.612,2.4686676568546,1.1040217389164
"44","real_insects","JA-conditioned","332",3,8.03666666666667,3.39237871313527,1.95859076322181
"45","real_insects","JA-conditioned","333",3,8.46,1.99652197583698,1.15269250019248
"46","real_insects","JA-conditioned","334",4,4.04,1.42989510104763,0.714947550523813
"47","real_insects","JA-conditioned","335",4,5.87,3.16506977279596,1.58253488639798
"48","real_insects","SA-conditioned","356",4,10.275,4.95393109896911,2.47696554948456
"49","real_insects","SA-conditioned","357",4,8.4525,3.97862937035692,1.98931468517846
"50","real_insects","SA-conditioned","358",5,5.858,3.19912019155267,1.43069004330078
"51","real_insects","SA-conditioned","359",3,5.03,1.14817246091343,0.662897679384483
"52","real_insects","SA-conditioned","360",4,4.925,2.33718491637554,1.16859245818777
"53","real_insects","SA-conditioned","361",4,7.47,2.5648261799454,1.2824130899727
"54","real_insects","SA-conditioned","362",3,5.04333333333333,2.18532224931092,1.26169638890574
"55","real_insects","SA-conditioned","363",5,5.982,2.9095394824611,1.30118561320051
"56","real_insects","SA-conditioned","364",4,5.0325,2.03891106557724,1.01945553278862
"57","real_insects","SA-conditioned","365",4,4.3775,1.4066360581188,0.703318029059401
