"file","id_rec","group","id_probe","wave","wavename","volt","start","stop","dur","nextwave","prevwave"
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_Ctr/8_syst1_psfRivera-ch2_.ANA",1,"Riv_Ctr",2,1,"non probing",NA,0,0.103166666666667,0.103166666666667,1,2
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_Ctr/8_syst1_psfRivera-ch2_.ANA",1,"Riv_Ctr",3,1,"non probing","2",0.103166666666667,2.12183333333333,2.01866666666667,2,1
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_Ctr/8_syst1_psfRivera-ch2_.ANA",1,"Riv_Ctr",4,2,"pathway","768",2.12183333333333,29.7745,27.6526666666667,4,1
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_Ctr/8_syst1_psfRivera-ch2_.ANA",1,"Riv_Ctr",5,4,"salivation phloem","-2126",29.7745,32.4925,2.718,2,2
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_Ctr/8_syst1_psfRivera-ch2_.ANA",1,"Riv_Ctr",6,2,"pathway","1000",32.4925,47.5028333333333,15.0103333333333,1,4
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_Ctr/8_syst1_psfRivera-ch2_.ANA",1,"Riv_Ctr",7,1,"non probing","-6",47.5028333333333,47.7791666666667,0.276333333333334,2,2
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_Ctr/8_syst1_psfRivera-ch2_.ANA",1,"Riv_Ctr",8,2,"pathway","646",47.7791666666667,49.4626666666667,1.6835,1,1
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_Ctr/8_syst1_psfRivera-ch2_.ANA",1,"Riv_Ctr",9,1,"non probing","22",49.4626666666667,50.6611666666667,1.1985,2,2
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_Ctr/8_syst1_psfRivera-ch2_.ANA",1,"Riv_Ctr",10,2,"pathway","1656",50.6611666666667,52.8355,2.17433333333334,1,1
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_Ctr/8_syst1_psfRivera-ch2_.ANA",1,"Riv_Ctr",11,1,"non probing","44",52.8355,54.3718333333333,1.53633333333333,2,2
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_Ctr/8_syst1_psfRivera-ch2_.ANA",1,"Riv_Ctr",12,2,"pathway","104",54.3718333333333,59.2708333333333,4.899,1,1
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_Ctr/8_syst1_psfRivera-ch2_.ANA",1,"Riv_Ctr",13,1,"non probing","-2",59.2708333333333,59.6111666666667,0.340333333333334,2,2
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_Ctr/8_syst1_psfRivera-ch2_.ANA",1,"Riv_Ctr",14,2,"pathway","669",59.6111666666667,107.849666666667,48.2385,6,1
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_Ctr/8_syst1_psfRivera-ch2_.ANA",1,"Riv_Ctr",15,6,"penetration difficulties","1602",107.849666666667,109.2485,1.39883333333333,2,2
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_Ctr/8_syst1_psfRivera-ch2_.ANA",1,"Riv_Ctr",16,2,"pathway","930",109.2485,115.816,6.56750000000001,6,6
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_Ctr/8_syst1_psfRivera-ch2_.ANA",1,"Riv_Ctr",17,6,"penetration difficulties","183",115.816,118.986833333333,3.17083333333333,2,2
