"id_rec","file","group","sum.np","lat.c","num.c","num.cs","num.css","sum.c","mean.c","occ.pd","num.pd","sum.pd","mean.pd","rate.pd","occ.e1","lat.e1","lat.e1p","num.e1","sum.e1","mean.e1","max.e1","prop.e1","occ.sing.e1","sing.e1","num.e1f","num.e1m","num.e1l","sum.e1f","sum.e1m","sum.e1l","prop.e1f","prop.e1m","prop.e1l","occ.e2","occ.e2s","lat.e2","lat.e2p","lat.e2s","lat.e2sp","num.e2","num.e2s","sum.e2","sum.e2s","mean.e2","mean.e2t","mean.e2s","mean.e2st","max.e2","occ.f","num.f","sum.f","mean.f","occ.g","num.g","sum.g","mean.g","occ.w11","lat.w11p","num.w11","sum.w11","mean.w11","occ.w12","lat.w12p","num.w12","sum.w12","mean.w12"
"1","C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_Ctr/8_syst1_psfRivera-ch2_.ANA","Riv_Ctr","17.2378333333333",2.12183333333333,20,7,2,226.603333333333,11.3301666666667,0,NA,NA,NA,NA,1,29.7745,27.6526666666667,7,6.31633333333336,0.902333333333337,2.718,1.45233188674493,1,2,5,0,0,3.16083333333336,0,0,1.45233188674493,0,0,1,1,180.0285,177.906666666667,239.5825,237.460666666667,5,1,211.322166666667,193.239666666667,42.2644333333333,42.2644333333333,193.239666666667,193.239666666667,193.239666666667,1,4,18.5203333333333,4.63008333333334,0,0,0,NA,0,477.878166666667,0,0,NA,0,477.878166666667,0,0,NA
"2","C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_Ctr/7_syst3_psfRivera-ch5_.ANA","Riv_Ctr","38.5699999999998",1.07166666666667,35,19,10,261.7705,7.47915714285715,0,NA,NA,NA,NA,1,286.126333333333,285.054666666667,8,8.30200000000008,1.03775000000001,2.01883333333336,17.0234871859457,1,5,1,1,1,1.02466666666669,0.360333333333358,0.417333333333318,9.67823184937993,3.40343807065068,3.94181726591507,1,0,359.741666666667,358.67,480,478.928333333333,2,0,2.28533333333331,0,1.14266666666666,1.32283333333334,NA,Inf,1.36783333333329,1,3,131.4615,43.8205,1,2,37.6106666666666,18.8053333333333,0,478.928333333333,0,0,NA,0,478.928333333333,0,0,NA
"3","C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_Ctr/7_syst1_psfRivera-ch8_.ANA","Riv_Ctr","13.4726666666666",0.804333333333333,17,7,4,199.637666666667,11.7433921568627,0,NA,NA,NA,NA,1,142.874166666667,142.069833333333,17,12.0071666666668,0.706303921568633,2.46916666666667,5.57144907081973,1,1,5,8,3,5.75750000000008,3.42133333333331,1.04550000000003,3.13737991313971,1.86435475052629,0.569714407153734,1,1,143.648333333333,142.844,346.532833333333,345.7285,13,1,171.505833333333,133.467166666667,13.1927564102564,13.4559358974359,133.467166666667,136.8885,133.467166666667,1,2,83.3766666666667,41.6883333333333,0,0,0,NA,0,479.195666666667,0,0,NA,0,479.195666666667,0,0,NA
"4","C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_Ctr/7_syst1_psfRivera-ch2_.ANA","Riv_Ctr","69.3624999999999",0.653166666666667,65,38,15,263.013333333333,4.04635897435898,0,NA,NA,NA,NA,1,29.3158333333333,28.6626666666667,21,27.9573333333333,1.33130158730159,4.04933333333332,9.45181278164692,1,13,4,1,3,3.87866666666667,1.72250000000003,0.551333333333332,5.9586235149529,2.64620032773458,0.846988938959441,1,1,166.5135,165.860333333333,429.603333333333,428.950166666667,5,1,37.136,29.4546666666666,7.42719999999999,7.7717,29.4546666666666,31.1771666666667,29.4546666666666,1,1,82.5308333333333,82.5308333333333,0,0,0,NA,0,479.346833333333,0,0,NA,0,479.346833333333,0,0,NA
"5","C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_Ctr/6_syst3_psfRivera-ch1_.ANA","Riv_Ctr","73.8915",14.1391666666667,38,23,14,212.793666666667,5.59983333333333,0,NA,NA,NA,NA,1,102.173166666667,88.034,8,6.4545,0.806812499999999,1.55983333333333,1.22770368543887,1,3,3,0,2,1.99283333333335,0,0.380499999999998,1.03087450609499,0,0.196829179343884,1,1,108.177166666667,94.038,227.056166666667,212.917,3,1,186.860333333333,186.489333333333,62.2867777777778,62.2867777777778,186.489333333333,186.489333333333,186.489333333333,0,0,0,NA,0,0,0,NA,0,465.860833333333,0,0,NA,0,465.860833333333,0,0,NA
"6","C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_Ctr/6_syst1_psfRivera-ch3_.ANA","Riv_Ctr","34.7091666666666",1.9665,49,31,18,272.204,5.55518367346939,0,NA,NA,NA,NA,1,282.941333333333,280.974833333333,3,5.43383333333333,1.81127777777778,2.5795,1.20157457521348,1,2,1,0,0,0.843999999999994,0,0,1.20157457521348,0,0,1,1,295.627666666667,293.661166666667,295.627666666667,293.661166666667,1,1,64.8073333333334,64.8073333333334,64.8073333333334,64.8073333333334,64.8073333333334,64.8073333333334,64.8073333333334,1,1,102.845666666667,102.845666666667,0,0,0,NA,0,478.0335,0,0,NA,0,478.0335,0,0,NA
"7","C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_Ctr/5_syst3_psfRivera-ch1_.ANA","Riv_Ctr","74.9606666666666",0.977166666666667,25,20,11,94.2680000000001,3.77072,0,NA,NA,NA,NA,1,169.228666666667,168.2515,9,7.21266666666668,0.801407407407409,4.70833333333334,2.32089188835521,0,0,1,8,0,0.344833333333327,6.86783333333335,0,0.110960470399456,2.20993141795576,0,1,1,169.5735,168.596333333333,176.443,175.465833333333,9,4,303.558666666667,295.457666666667,33.7287407407407,34.4918333333333,73.8644166666667,75.581375,180.898166666667,0,0,0,NA,0,0,0,NA,0,479.022833333333,0,0,NA,0,479.022833333333,0,0,NA
"8","C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_Ctr/5_syst1_psfRivera-ch3_.ANA","Riv_Ctr","42.0513333333334",39.1383333333333,7,2,1,106.058333333333,15.1511904761905,0,NA,NA,NA,NA,1,117.229333333333,78.091,15,101.827666666667,6.78851111111111,32.192,30.681118562256,0,0,3,10,2,4.59583333333336,80.6816666666667,16.5501666666667,1.38474455919677,24.3097368508272,4.98663715223201,1,1,120.214666666667,81.0763333333333,120.214666666667,81.0763333333333,13,7,230.062666666667,210.859666666667,17.6971282051282,23.9034102564103,30.1228095238095,41.6487619047619,64.5371666666667,0,0,0,NA,0,0,0,NA,0,440.861666666667,0,0,NA,0,440.861666666667,0,0,NA
"9","C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_Ctr/4_syst3_psfRivera-ch5_.ANA","Riv_Ctr","4.93683333333334",1.11433333333333,4,1,0,47.8186666666667,11.9546666666667,0,NA,NA,NA,NA,1,47.5126666666667,46.3983333333333,7,40.0206666666667,5.7172380952381,25.5978333333334,9.36715783741317,0,0,2,4,1,2.03883333333334,36.7775,1.20433333333334,0.477205284873962,8.60806868198421,0.281883870554996,1,1,48.9101666666667,47.7958333333333,48.9101666666667,47.7958333333333,6,4,387.223833333333,378.416333333333,64.5373055555555,70.6668888888889,94.6040833333333,103.798458333333,167.072833333333,0,0,0,NA,0,0,0,NA,0,478.885666666667,0,0,NA,0,478.885666666667,0,0,NA
"10","C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_Ctr/4_syst1_psfRivera-ch1_.ANA","Riv_Ctr","74.5843333333332",1.84333333333333,59,36,8,303.899,5.15083050847458,0,NA,NA,NA,NA,1,104.291,102.447666666667,14,25.8715,1.84796428571428,6.33833333333332,37.3236832735338,1,4,5,0,5,5.85899999999995,0,12.3106666666666,12.0354139848264,0,25.2882692887075,1,1,105.554666666667,103.711333333333,160.017666666667,158.174333333333,5,1,22.8098333333334,11.4675,4.56196666666667,4.56196666666667,11.4675,11.4675,11.4675,0,0,0,NA,1,2,44.783,22.3915,0,478.156666666667,0,0,NA,0,478.156666666667,0,0,NA
