"file","id_rec","group","id_probe","wave","wavename","volt","start","stop","dur","nextwave","prevwave"
"C:\RProjects\stressbiome\epg_data\Raw_data\Riv_SA/8_syst3_psfRivera-ch4_.ANA",1,"Riv_SA",2,1,"non probing",NA,0,0.0806666666666667,0.0806666666666667,2,1
"C:\RProjects\stressbiome\epg_data\Raw_data\Riv_SA/8_syst3_psfRivera-ch4_.ANA",1,"Riv_SA",3,2,"pathway","4019",0.0806666666666667,1.922,1.84133333333333,1,1
"C:\RProjects\stressbiome\epg_data\Raw_data\Riv_SA/8_syst3_psfRivera-ch4_.ANA",1,"Riv_SA",4,1,"non probing","-11",1.922,2.72566666666667,0.803666666666667,2,2
"C:\RProjects\stressbiome\epg_data\Raw_data\Riv_SA/8_syst3_psfRivera-ch4_.ANA",1,"Riv_SA",5,2,"pathway","844",2.72566666666667,3.06816666666667,0.3425,1,1
"C:\RProjects\stressbiome\epg_data\Raw_data\Riv_SA/8_syst3_psfRivera-ch4_.ANA",1,"Riv_SA",6,1,"non probing","-22",3.06816666666667,3.796,0.727833333333333,2,2
"C:\RProjects\stressbiome\epg_data\Raw_data\Riv_SA/8_syst3_psfRivera-ch4_.ANA",1,"Riv_SA",7,2,"pathway","4183",3.796,15.014,11.218,1,1
"C:\RProjects\stressbiome\epg_data\Raw_data\Riv_SA/8_syst3_psfRivera-ch4_.ANA",1,"Riv_SA",8,1,"non probing","-20",15.014,16.0156666666667,1.00166666666667,2,2
"C:\RProjects\stressbiome\epg_data\Raw_data\Riv_SA/8_syst3_psfRivera-ch4_.ANA",1,"Riv_SA",9,2,"pathway","1803",16.0156666666667,29.3456666666667,13.33,1,1
"C:\RProjects\stressbiome\epg_data\Raw_data\Riv_SA/8_syst3_psfRivera-ch4_.ANA",1,"Riv_SA",10,1,"non probing","0",29.3456666666667,30.2453333333333,0.899666666666668,2,2
"C:\RProjects\stressbiome\epg_data\Raw_data\Riv_SA/8_syst3_psfRivera-ch4_.ANA",1,"Riv_SA",11,2,"pathway","2742",30.2453333333333,43.1278333333333,12.8825,4,1
"C:\RProjects\stressbiome\epg_data\Raw_data\Riv_SA/8_syst3_psfRivera-ch4_.ANA",1,"Riv_SA",12,4,"salivation phloem","-2009",43.1278333333333,45.6396666666667,2.51183333333334,2,2
