variable,test,test_statistic,Pvalue,sign,n_Riv_Ctr,n_Riv_SA,Riv_Ctr_mean,Riv_Ctr_sd,Riv_SA_mean,Riv_SA_sd
sum.np,Wilcoxon rank sum exact test,114.0,0.4638,ns,18.0,15.0,52.0,10.7,54.0,7.2
lat.c,Wilcoxon rank sum exact test,147.0,0.6816,ns,18.0,15.0,9.0,2.4,14.3,6.3
num.c,Wilcoxon rank sum test with continuity correction,119.0,0.5751,ns,18.0,15.0,32.6,5.6,37.0,6.3
num.cs,Wilcoxon rank sum test with continuity correction,134.5,1.0,ns,18.0,15.0,17.7,3.6,17.0,4.5
num.css,Wilcoxon rank sum test with continuity correction,141.5,0.8272,ns,18.0,15.0,7.6,1.7,8.2,2.9
sum.c,Wilcoxon rank sum exact test,72.0,0.0224,*,18.0,15.0,205.0,22.5,281.0,22.1
mean.c,Wilcoxon rank sum exact test,112.0,0.4211,ns,18.0,15.0,9.6,1.6,9.6,1.0
occ.pd,,,,,,,,,,
num.pd,,,,,,,,,,
sum.pd,,,,,,,,,,
mean.pd,,,,,,,,,,
rate.pd,,,,,,,,,,
occ.e1,Pearson's Chi-squared test,,,,18.0,15.0,,,,
lat.e1,Wilcoxon rank sum exact test,149.0,0.63,ns,18.0,15.0,125.9,22.7,103.2,21.2
lat.e1p,Wilcoxon rank sum exact test,155.0,0.486,ns,18.0,15.0,116.9,22.7,88.9,19.1
num.e1,Wilcoxon rank sum test with continuity correction,100.0,0.2111,ns,18.0,15.0,10.7,1.5,13.5,1.6
sum.e1,Wilcoxon rank sum exact test,126.0,0.7618,ns,18.0,15.0,25.3,7.0,17.8,2.5
mean.e1,Wilcoxon rank sum exact test,160.0,0.3807,ns,18.0,15.0,2.6,0.7,1.5,0.2
max.e1,Wilcoxon rank sum exact test,143.0,0.7891,ns,18.0,15.0,9.0,2.4,5.7,1.4
prop.e1,Wilcoxon rank sum exact test,125.0,0.7347,ns,18.0,15.0,14.6,3.5,14.3,3.1
occ.sing.e1,Pearson's Chi-squared test with Yates' continuity correction,1.2375,0.266,ns,18.0,15.0,,,,
sing.e1,Wilcoxon rank sum test with continuity correction,100.0,0.2075,ns,18.0,15.0,2.7,0.8,3.5,0.7
num.e1f,Wilcoxon rank sum test with continuity correction,96.0,0.1591,ns,18.0,15.0,3.2,0.5,4.4,0.7
num.e1m,Wilcoxon rank sum test with continuity correction,131.0,0.8955,ns,18.0,15.0,2.8,0.9,2.3,0.7
