"id_rec","file","group","hour","wave","wavename","perc","num","mean"
1,"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_SA/8_syst3_psfRivera-ch4_.ANA","Riv_SA",1,1,"non probing",5.85583333333334,5,1.17116666666667
1,"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_SA/8_syst3_psfRivera-ch4_.ANA","Riv_SA",1,2,"pathway",84.6316666666666,8,10.5789583333333
1,"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_SA/8_syst3_psfRivera-ch4_.ANA","Riv_SA",1,4,"salivation phloem",9.51250000000002,3,3.17083333333334
1,"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_SA/8_syst3_psfRivera-ch4_.ANA","Riv_SA",1,5,"phloem feeding",0,0,NA
1,"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_SA/8_syst3_psfRivera-ch4_.ANA","Riv_SA",1,6,"penetration difficulties",0,0,NA
1,"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_SA/8_syst3_psfRivera-ch4_.ANA","Riv_SA",1,7,"xylem ingestion",0,0,NA
1,"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_SA/8_syst3_psfRivera-ch4_.ANA","Riv_SA",1,3,"3",0,0,NA
1,"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_SA/8_syst3_psfRivera-ch4_.ANA","Riv_SA",2,1,"non probing",5.67999999999999,4,1.42
1,"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_SA/8_syst3_psfRivera-ch4_.ANA","Riv_SA",2,2,"pathway",76.2963888888889,4,19.0740972222222
1,"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_SA/8_syst3_psfRivera-ch4_.ANA","Riv_SA",2,4,"salivation phloem",4.92361111111111,3,1.6412037037037
