"ID","Phase","Experiment","herbivory","soil_inocula","Block","caterpillar_number","caterpillar","weight"
"147","feedback","simulated","chewer","control-conditioned","2",3,"Caterpillar 1",27.4
"147","feedback","simulated","chewer","control-conditioned","2",3,"Caterpillar 2",40.78
"147","feedback","simulated","chewer","control-conditioned","2",3,"Caterpillar 3",27.04
"148","feedback","simulated","chewer","control-conditioned","3",4,"Caterpillar 1",54.14
"148","feedback","simulated","chewer","control-conditioned","3",4,"Caterpillar 2",8.05
"148","feedback","simulated","chewer","control-conditioned","3",4,"Caterpillar 3",35.82
"148","feedback","simulated","chewer","control-conditioned","3",4,"Caterpillar 4",11.62
"149","feedback","simulated","chewer","control-conditioned","4",5,"Caterpillar 1",24.67
"149","feedback","simulated","chewer","control-conditioned","4",5,"Caterpillar 2",31.98
"149","feedback","simulated","chewer","control-conditioned","4",5,"Caterpillar 3",14.71
"149","feedback","simulated","chewer","control-conditioned","4",5,"Caterpillar 4",19.36
"149","feedback","simulated","chewer","control-conditioned","4",5,"Caterpillar 5",16.28
"150","feedback","simulated","chewer","control-conditioned","5",5,"Caterpillar 1",14.87
"150","feedback","simulated","chewer","control-conditioned","5",5,"Caterpillar 2",6.13
"150","feedback","simulated","chewer","control-conditioned","5",5,"Caterpillar 3",24.44
"150","feedback","simulated","chewer","control-conditioned","5",5,"Caterpillar 4",14.05
"150","feedback","simulated","chewer","control-conditioned","5",5,"Caterpillar 5",26.22
"151","feedback","simulated","chewer","control-conditioned","6",5,"Caterpillar 1",10.85
"151","feedback","simulated","chewer","control-conditioned","6",5,"Caterpillar 2",15.98
"151","feedback","simulated","chewer","control-conditioned","6",5,"Caterpillar 3",14.12
"151","feedback","simulated","chewer","control-conditioned","6",5,"Caterpillar 4",31.45
"151","feedback","simulated","chewer","control-conditioned","6",5,"Caterpillar 5",17.62
"152","feedback","simulated","chewer","control-conditioned","7",4,"Caterpillar 1",46.98
"152","feedback","simulated","chewer","control-conditioned","7",4,"Caterpillar 2",22.28
"152","feedback","simulated","chewer","control-conditioned","7",4,"Caterpillar 3",17.8
"152","feedback","simulated","chewer","control-conditioned","7",4,"Caterpillar 4",25.24
"153","feedback","simulated","chewer","control-conditioned","8",4,"Caterpillar 1",13.16
"153","feedback","simulated","chewer","control-conditioned","8",4,"Caterpillar 2",17.97
"153","feedback","simulated","chewer","control-conditioned","8",4,"Caterpillar 3",9.22
"153","feedback","simulated","chewer","control-conditioned","8",4,"Caterpillar 4",10.87
"154","feedback","simulated","chewer","control-conditioned","9",5,"Caterpillar 1",21.8
"154","feedback","simulated","chewer","control-conditioned","9",5,"Caterpillar 2",22.43
"154","feedback","simulated","chewer","control-conditioned","9",5,"Caterpillar 3",50.97
"154","feedback","simulated","chewer","control-conditioned","9",5,"Caterpillar 4",16.68
"154","feedback","simulated","chewer","control-conditioned","9",5,"Caterpillar 5",18.58
"155","feedback","simulated","chewer","control-conditioned","10",3,"Caterpillar 1",21.22
"155","feedback","simulated","chewer","control-conditioned","10",3,"Caterpillar 2",12.92
"155","feedback","simulated","chewer","control-conditioned","10",3,"Caterpillar 3",25.11
"206","feedback","simulated","chewer","JA-conditioned","1",4,"Caterpillar 1",8.49
"206","feedback","simulated","chewer","JA-conditioned","1",4,"Caterpillar 2",10.36
"206","feedback","simulated","chewer","JA-conditioned","1",4,"Caterpillar 3",11.17
"206","feedback","simulated","chewer","JA-conditioned","1",4,"Caterpillar 4",10.53
"207","feedback","simulated","chewer","JA-conditioned","2",4,"Caterpillar 1",33.25
"207","feedback","simulated","chewer","JA-conditioned","2",4,"Caterpillar 2",9.43
