"ID","Block","Phase","Experiment","plant_pathway_induced","Stress","soil_inocula","herbivory","Leaf_area","shoot_biomass_mg"
"1",NA,"conditioning","simulated","Control","Control",NA,NA,NA,2078
"2",NA,"conditioning","simulated","Control","Control",NA,NA,NA,2005
"3",NA,"conditioning","simulated","Control","Control",NA,NA,NA,NA
"4",NA,"conditioning","simulated","Control","Control",NA,NA,NA,2074
"5",NA,"conditioning","simulated","Control","Control",NA,NA,NA,1774
"6",NA,"conditioning","simulated","Control","Control",NA,NA,NA,1653
"7",NA,"conditioning","simulated","Control","Control",NA,NA,NA,1486
"8",NA,"conditioning","simulated","Control","Control",NA,NA,NA,NA
"9",NA,"conditioning","simulated","Control","Control",NA,NA,NA,1869
"10",NA,"conditioning","simulated","Control","Control",NA,NA,NA,NA
"11",NA,"conditioning","simulated","Control","Control",NA,NA,NA,2048
"12",NA,"conditioning","simulated","Control","Control",NA,NA,NA,2005
"13",NA,"conditioning","simulated","Control","Control",NA,NA,NA,NA
"14",NA,"conditioning","simulated","Control","Control",NA,NA,NA,1990
"15",NA,"conditioning","simulated","Control","Control",NA,NA,NA,2096
"16",NA,"conditioning","simulated","Control","Control",NA,NA,NA,1802
"17",NA,"conditioning","simulated","JA","MeJA",NA,NA,NA,1243
"18",NA,"conditioning","simulated","JA","MeJA",NA,NA,NA,1617
"19",NA,"conditioning","simulated","JA","MeJA",NA,NA,NA,NA
"20",NA,"conditioning","simulated","JA","MeJA",NA,NA,NA,1327
"21",NA,"conditioning","simulated","JA","MeJA",NA,NA,NA,1481
"22",NA,"conditioning","simulated","JA","MeJA",NA,NA,NA,1266
"23",NA,"conditioning","simulated","JA","MeJA",NA,NA,NA,1624
"24",NA,"conditioning","simulated","JA","MeJA",NA,NA,NA,NA
"25",NA,"conditioning","simulated","JA","MeJA",NA,NA,NA,1731
"26",NA,"conditioning","simulated","JA","MeJA",NA,NA,NA,NA
"27",NA,"conditioning","simulated","JA","MeJA",NA,NA,NA,1689
"28",NA,"conditioning","simulated","JA","MeJA",NA,NA,NA,1676
"29",NA,"conditioning","simulated","JA","MeJA",NA,NA,NA,NA
"30",NA,"conditioning","simulated","JA","MeJA",NA,NA,NA,1263
"31",NA,"conditioning","simulated","JA","MeJA",NA,NA,NA,1543
"32",NA,"conditioning","simulated","JA","MeJA",NA,NA,NA,1599
"33",NA,"conditioning","simulated","SA","SA",NA,NA,NA,1621
"34",NA,"conditioning","simulated","SA","SA",NA,NA,NA,1942
