"file","id_rec","group","id_probe","wave","wavename","volt","start","stop","dur","nextwave","prevwave"
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_SA/8_syst3_psfRivera-ch4_.ANA",1,"Riv_SA",2,1,"non probing",NA,0,0.0806666666666667,0.0806666666666667,2,1
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_SA/8_syst3_psfRivera-ch4_.ANA",1,"Riv_SA",3,2,"pathway","4019",0.0806666666666667,1.922,1.84133333333333,1,1
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_SA/8_syst3_psfRivera-ch4_.ANA",1,"Riv_SA",4,1,"non probing","-11",1.922,2.72566666666667,0.803666666666667,2,2
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_SA/8_syst3_psfRivera-ch4_.ANA",1,"Riv_SA",5,2,"pathway","844",2.72566666666667,3.06816666666667,0.3425,1,1
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_SA/8_syst3_psfRivera-ch4_.ANA",1,"Riv_SA",6,1,"non probing","-22",3.06816666666667,3.796,0.727833333333333,2,2
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_SA/8_syst3_psfRivera-ch4_.ANA",1,"Riv_SA",7,2,"pathway","4183",3.796,15.014,11.218,1,1
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_SA/8_syst3_psfRivera-ch4_.ANA",1,"Riv_SA",8,1,"non probing","-20",15.014,16.0156666666667,1.00166666666667,2,2
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_SA/8_syst3_psfRivera-ch4_.ANA",1,"Riv_SA",9,2,"pathway","1803",16.0156666666667,29.3456666666667,13.33,1,1
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_SA/8_syst3_psfRivera-ch4_.ANA",1,"Riv_SA",10,1,"non probing","0",29.3456666666667,30.2453333333333,0.899666666666668,2,2
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_SA/8_syst3_psfRivera-ch4_.ANA",1,"Riv_SA",11,2,"pathway","2742",30.2453333333333,43.1278333333333,12.8825,4,1
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_SA/8_syst3_psfRivera-ch4_.ANA",1,"Riv_SA",12,4,"salivation phloem","-2009",43.1278333333333,45.6396666666667,2.51183333333334,2,2
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_SA/8_syst3_psfRivera-ch4_.ANA",1,"Riv_SA",13,2,"pathway","593",45.6396666666667,51.845,6.20533333333333,4,4
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_SA/8_syst3_psfRivera-ch4_.ANA",1,"Riv_SA",14,4,"salivation phloem","-2192",51.845,53.5376666666667,1.69266666666667,2,2
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_SA/8_syst3_psfRivera-ch4_.ANA",1,"Riv_SA",15,2,"pathway","1135",53.5376666666667,56.9058333333333,3.36816666666666,4,4
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_SA/8_syst3_psfRivera-ch4_.ANA",1,"Riv_SA",16,4,"salivation phloem","-2239",56.9058333333333,58.4088333333333,1.503,2,2
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_SA/8_syst3_psfRivera-ch4_.ANA",1,"Riv_SA",17,2,"pathway","619",58.4088333333333,62.8293333333333,4.4205,1,4
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_SA/8_syst3_psfRivera-ch4_.ANA",1,"Riv_SA",18,1,"non probing","-23",62.8293333333333,63.8595,1.03016666666667,2,2
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_SA/8_syst3_psfRivera-ch4_.ANA",1,"Riv_SA",19,2,"pathway","446",63.8595,71.0065,7.147,1,1
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_SA/8_syst3_psfRivera-ch4_.ANA",1,"Riv_SA",20,1,"non probing","-34",71.0065,71.6963333333333,0.689833333333326,2,2
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_SA/8_syst3_psfRivera-ch4_.ANA",1,"Riv_SA",21,2,"pathway","2830",71.6963333333333,87.9353333333333,16.239,1,1
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_SA/8_syst3_psfRivera-ch4_.ANA",1,"Riv_SA",22,1,"non probing","-12",87.9353333333333,88.6311666666667,0.695833333333326,2,2
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_SA/8_syst3_psfRivera-ch4_.ANA",1,"Riv_SA",23,2,"pathway","3304",88.6311666666667,96.924,8.29283333333333,1,1
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_SA/8_syst3_psfRivera-ch4_.ANA",1,"Riv_SA",24,1,"non probing","-16",96.924,97.9161666666667,0.992166666666677,2,2
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_SA/8_syst3_psfRivera-ch4_.ANA",1,"Riv_SA",25,2,"pathway","1761",97.9161666666667,112.015166666667,14.099,4,1
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_SA/8_syst3_psfRivera-ch4_.ANA",1,"Riv_SA",26,4,"salivation phloem","-2140",112.015166666667,113.772,1.75683333333333,5,2
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_SA/8_syst3_psfRivera-ch4_.ANA",1,"Riv_SA",27,5,"phloem feeding","-1978",113.772,116.264833333333,2.49283333333335,4,4
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_SA/8_syst3_psfRivera-ch4_.ANA",1,"Riv_SA",28,4,"salivation phloem","-1926",116.264833333333,117.088666666667,0.823833333333326,5,5
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_SA/8_syst3_psfRivera-ch4_.ANA",1,"Riv_SA",29,5,"phloem feeding","-1919",117.088666666667,117.712166666667,0.623499999999993,4,4
